Variable,Coeff*E5
TotalPopulation2020Estimated,1.6499158234297815
Age5to9years2020Estimated,-0.343453524200586
Age10to14years2020Estimated,0.9718246161144414
Age15to17years2020Estimated,3.715697135978343
Age18and19years2020Estimated,3.159897899085768
Age20to24years2020Estimated,1.7859008213021392
Age25to34years2020Estimated,-0.04406453899602207
Age35to44years2020Estimated,-2.611701373090841
Age45to54years2020Estimated,-1.8004332729600985
Age55to64years2020Estimated,-5.741624837576062
Age65to74years2020Estimated,-10.389100408367778
Age75to84years2020Estimated,5.369278849803834
Age85yearsandover2020Estimated,13.254149911354709
SexFemale2020Estimated,-2.1060136423198306
RaceBlackorAfricanAmericanalone2020Estimated,8.228254217210075
RaceWhitealone2020Estimated,-2.141757265818144
RaceAmericanIndianandAlaskaNativealone2020Estimated,1.0920145626419462
RaceAsianalone2020Estimated,-1.496948876883052
HouseholdIncomeLessthan100002020Estimated,3.17170285590986
HouseholdIncome10000to199992020Estimated,6.156654794542134
HouseholdIncome20000to299992020Estimated,0.5457805250276708
HouseholdIncome30000to399992020Estimated,0.5478151513834725
HouseholdIncome40000to499992020Estimated,0.04272390566034753
HouseholdIncome50000to599992020Estimated,2.4585482013182043
HouseholdIncome60000to749992020Estimated,2.940227608156466
HouseholdIncome75000to999992020Estimated,2.0660733229557193
HouseholdIncome100000to1249992020Estimated,-0.5843643644509686
HouseholdIncome125000to1499992020Estimated,-1.788106649418444
HouseholdIncome150000to1999992020Estimated,-2.163262777957595
SchoolEnrollmentEnrolledinschool2020Estimated,-1.6601548799921855
SchoolEnrollmentEnrolledinnurseryschoolpreschool2020Estimated,2.287877069809533
SchoolEnrollmentEnrolledinkindergarten2020Estimated,2.964109112114553
SchoolEnrollmentEnrolledingrade1tograde42020Estimated,1.3932407817611787
SchoolEnrollmentEnrolledingrade5tograde82020Estimated,2.6060855583917397
SchoolEnrollmentEnrolledingrade9tograde122020Estimated,0.7258775009038819
SchoolEnrollmentEnrolledincollegeundergraduateyears2020Estimated,-4.043783595536935
SchoolEnrollmentGraduateorprofessionalschool2020Estimated,-2.7071075180396322
SchoolEnrollmentNotenrolledinschool2020Estimated,3.760214320790223
EmploymentStatusInlaborforce2020Estimated,-0.9554697681488808
EmploymentStatusInlaborforceCivilianlaborforce2020Estimated,0.05223422516867349
EmploymentStatusIncivilianlaborforceEmployed2020Estimated,0.19365600001424438
EmploymentStatusIncivilianlaborforceUnemployed2020Estimated,-0.7351361152440693
EmploymentStatusInlaborforceArmedForces2020Estimated,-5.048456344588775
EmploymentStatusNotinlaborforce2020Estimated,-1.067868819460988
PovertyStatusbyAgeInPovertyUnder5years2020Estimated,3.021688223973841
PovertyStatusbyAgeInPoverty6to11years2020Estimated,1.5700335805226553
PovertyStatusbyAgeInPoverty5years2020Estimated,0.936193240632919
PovertyStatusbyAgeInPoverty12to14years2020Estimated,-2.7002071742823532
PovertyStatusbyAgeInPoverty15years2020Estimated,3.2679524420587565
PovertyStatusbyAgeInPoverty16and17years2020Estimated,1.6754719415639687
PovertyStatusbyAgeInPoverty18to24years2020Estimated,-2.1935201533946853
PovertyStatusbyAgeInPoverty25to34years2020Estimated,-1.3694530094490944
PovertyStatusbyAgeInPoverty35to44years2020Estimated,-1.9447447103837168
PovertyStatusbyAgeInPoverty45to54years2020Estimated,-2.786670215308211
PovertyStatusbyAgeInPoverty55to64years2020Estimated,-0.6064586600600387
PovertyStatusbyAgeInPoverty65to74years2020Estimated,2.5656053575217213
PovertyStatusbyAgeInPoverty75yearsandover2020Estimated,5.479863426186816
LanguageSpokenatHomeSpeakonlyEnglish2020Estimated,-4.462567906618209
LanguageSpokenatHomeSpanish2020Estimated,-0.09181666119205477
LanguageSpokenatHomeFrenchHaitianorCajun2020Estimated,-0.6532604641098783
LanguageSpokenatHomeGermanorotherWestGermaniclanguages2020Estimated,-0.9649265588091586
LanguageSpokenatHomeRussianPolishorotherSlaviclanguages2020Estimated,1.2352071309128048
LanguageSpokenatHomeOtherIndoEuropeanlanguages2020Estimated,1.175303310236578
LanguageSpokenatHomeKorean2020Estimated,0.46953395611279464
LanguageSpokenatHomeChineseinclMandarinCantonese2020Estimated,5.972373798301449
LanguageSpokenatHomeVietnamese2020Estimated,-3.8499433000938956
LanguageSpokenatHomeTagaloginclFilipino2020Estimated,-0.9193619219005127
LanguageSpokenatHomeOtherAsianandPacificIslandlanguages2020Estimated,-1.9854114885942677
LanguageSpokenatHomeArabic2020Estimated,1.8663717494707255
WithHealthInsuraceUnder6years,-1.6138675971397045
WithHealthInsurace6to18years,0.032485035570641425
WithHealthInsurace19to25years,-1.847071292300488
WithHealthInsurace26to34years,-3.4471035917040624
WithHealthInsurace35to44years,2.0928067416527987
WithHealthInsurace45to54years,0.20067469193659418
WithHealthInsurace55to64years,0.9772036110754331
WithHealthInsurace65to74years,0.07370220891564824
WithHealthInsurace75yearsandover,1.0582659035425623
Householdvehicleavailability,-0.30613178953084574
StateAL,-0.004902149194116393
StateAR,2.644307192384097
StateAZ,2.576015626589303
StateCA,-4.730320246188083
StateCO,1.1498310130684328
StateCT,2.9407388989150522
StateDC,-4.473015221383582e-31
StateDE,0.6884259538988466
StateFL,-0.8241854231204787
StateGA,3.450930113230992
StateHI,-0.2941116784639987
StateIA,5.492341001865643
StateID,-3.3158204066782724
StateIL,4.7112286700300805
StateIN,3.755853370460611
StateKS,-0.2587263656343319
StateKY,-5.052209052577448
StateLA,8.978688606957778
StateMA,3.423747757287311
StateMD,0.07171743185912786
StateME,-4.414375755834992
StateMI,1.4378240882166042
StateMN,-0.3555330111821234
StateMO,-6.043608113696965
StateMS,7.961952180186337
StateMT,4.6668980832592535
StateNC,-4.17804117646764
StateND,11.332038353817298
StateNE,-3.740028265679549
StateNH,-1.540620592875296
StateNJ,6.6134311913048665
StateNM,1.1308177522638228
StateNV,-0.5849596668927103
StateNY,-1.650963985363954
StateOH,-2.1186975879580947
StateOK,-6.16056206791752
StateOR,-4.617893320235374
StatePA,1.6654045031240805
StatePR,-10.445486161080611
StateRI,1.744299352691811
StateSC,1.173522836407789
StateSD,12.068517435869811
StateTN,4.59031698907346
StateTX,7.12145931049217
StateUT,-4.945196848389575
StateVA,-4.107146230703126
StateVT,-3.607891479258469
StateWA,-4.333926147718369
StateWI,-0.4897417289416959
StateWV,-3.580694197060598
StateWY,-0.631232498945618
EducationalAttainmentBachelorsdegreeorhigher2021Estimated,-3.9628404403798903
LogPopulationDensitypersqmi,2.67867680253201
HouseholdSize1personhousehold2021Estimated,0.29127544519786613
HouseholdSize2personhousehold2021Estimated,-0.009168286613878708
HouseholdSize3personhousehold2021Estimated,0.16651312232528573
HouseholdSize4personhousehold2021Estimated,-1.4420653338417788
HouseholdSize5personhousehold2021Estimated,2.263283618396694
HouseholdSize6personhousehold2021Estimated,0.6810342786058814
GiniIndexOfIncomeInequalityB19083GiniIndex2019,-0.5596253757759595
HispanicorLatinoHispanicorLatino2021Estimated,0.9640352590138241
MaxAQI,0.040134723511377604
90thPercentileAQI,2.3139422659755615
MedianAQI,0.9069937725215821
GoodDays,2.529319216732818
UnhealthyforSensitiveGroupsDays,-1.6823336464410106
UnhealthyDays,0.7654605409198584
VeryUnhealthyDays,-1.018785510090302
DaysCO,-1.2660432171109268
DaysNO2,0.9505080688514113
DaysPM25,-0.3767696416415133
DaysPM10,0.25347496647084033
